Paises;R-A4x100m M;R-A4x100m F;R-A4x400m M;R-A4x400m F;R-Baloncesto M;R-Baloncesto F;R-Balonmano M;R-Balonmano F;R-Ciclo Vel. Equipos M;R-Ciclo Vel. Equipos F;R-Ciclo Perseguir Equipos M;R-Ciclo Perseguir Equipos F;R-N 4x100m M;R-N 4x100m F;R-N 4x200m M;R-N 4x200m F;R-NET 4x100m M;R-NET 4x100m F;R-N Sincronizada;R-Waterpolo M;R-Waterpolo F;R-Doma;R-Salto obst.;R-Concurso Completo;R-Espada M;R-Florete M;R-Espada F;R-Sable F;R-Futbol M;R-Futbol F;R-Gim. Art. M;R-Gim.Art. F;R-Gim. Rit.;R-Hockey M;R-Hockey F;R-K4 1000m M;R-K4 500m F;R-M4X M;R-WAX F;R-Rugby 7 M;R-Rugby 7 F;R-Tenis Mesa M;R-Tenis Mesa F;R-TA M;R-TA F;R-Volei M;R-Volei F;17-A4x100m M;17-A4x100m F;17-A4x400m M;17-A4x400m F;17-Baloncesto M;17-Baloncesto F;17-Balonmano M;17-Balonmano F;17-Ciclo Vel. Equipos M;17-Ciclo Vel. Equipos F;17-Ciclo Perseguir Equipos M;17-Ciclo Perseguir Equipos F;17-N 4x100m M;17-N 4x100m F;17-N 4x200m M;17-N 4x200m F;17-NET 4x100m M;17-NET 4x100m F;17-N Sincronizada;17-Waterpolo M;17-Waterpolo F;17-Doma;17-Salto obst.;17-Concurso Completo;17-Espada M;17-Florete M;17-Espada F;17-Sable F;17-Futbol M;17-Futbol F;17-Gim. Rit.;17-Hockey M;17-Hockey F;17-K4 1000m M;17-K4 500m F;17-M4X M;17-WAX F;17-Rugby 7 M;17-Rugby 7 F;17-TA M;17-TA F;17-Volei M;17-Volei F;18-A4x400m M;18-A4x400m F;18-Baloncesto F;18-Balonmano M;18-Balonmano F;18-Ciclo Vel. Equipos M;18-Ciclo Vel. Equipos F;18-N 4x100m M;18-N 4x100m F;18-N 4x200m M;18-N 4x200m F;18-NET 4x100m M;18-NET 4x100m F;18-Waterpolo M;18-Waterpolo F;18-Doma;18-Salto obst.;18-Concurso Completo;18-Espada M;18-Florete M;18-Espada F;18-Sable F;18-Futbol M;18-Gim. Art. M;18-Gim.Art. F;18-Gim. Rit.;18-Hockey M;18-Hockey F;18-K4 1000m M;18-K4 500m F;18-M4X M;18-WAX F;18-Rugby 7 M;18-Rugby 7 F;18-Tenis Mesa M;18-Tenis Mesa F;18-TA M;18-TA F;18-Volei M;18-Volei F;19-A4x100m M;19-A4x100m F;19-A4x400m M;19-A4x400m F;19-Baloncesto M;19-Baloncesto F;19-Balonmano M;19-Balonmano F;19-Ciclo Vel. Equipos M;19-Ciclo Vel. Equipos F;19-Ciclo Perseguir Equipos M;19-Ciclo Perseguir Equipos F;19-N 4x100m M;19-N 4x100m F;19-N 4x200m M;19-N 4x200m F;19-NET 4x100m M;19-NET 4x100m F;19-N Sincronizada;19-Waterpolo M;19-Waterpolo F;19-Doma;19-Salto obst.;19-Concurso Completo;19-Espada F;19-Florete M;19-Espada M;19-Sable F;19-Futbol M;19-Futbol F;19-Gim. Art. M;19-Gim.Art. F;19-Gim. Rit.;19-Hockey M;19-Hockey F;19-K4 1000m M;19-K4 500m F;19-M4X M;19-WAX F;19-Rugby 7 M;19-Rugby 7 F;19-Tenis Mesa M;19-Tenis Mesa F;19-TA M;19-TA F;19-Volei M;19-Volei F;T-A4x100m M;T-A4x100m F;T-A4x400m M;T-A4x400m F;T-Baloncesto M;T-Baloncesto F;T-Balonmano M;T-Balonmano F;T-Ciclo Vel. Equipos M;T-Ciclo Vel. Equipos F;T-Ciclo Perseguir Equipos M;T-Ciclo Perseguir Equipos F;T-N 4x100m M;T-N 4x100m F;T-N 4x200m M;T-N 4x200m F;T-NET 4x100m M;T-NET 4x100m F;T-N Sincronizada;T-Waterpolo M;T-Waterpolo F;T-Doma;T-Salto obst.;T-Concurso Completo;T-Espada M;T-Florete M;T-Espada F;T-Sable F;T-Futbol M;T-Futbol F;T-Gim. Art. M;T-Gim.Art. F;T-Gim. Rit.;T-Hockey M;T-Hockey F;T-K4 1000m M;T-K4 500m F;T-M4X M;T-WAX F;T-Rugby 7 M;T-Rugby 7 F;T-Tenis Mesa M;T-Tenis Mesa F;T-TA M;T-TA F;T-Volei M;T-Volei F;Paises;20-Pob;Felicidad;PIB;LicFF
Sierra Leona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sierra Leona;7976985;;3557;
Singapur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;Singapur;5686000;6377;2970;
Siria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Siria;17500657;;20346;
Somalia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Somalia;15893219;;4367;
Sri Lanka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sri Lanka;21919000;;70633;
Suazilandia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Suazilandia;1160164;4308;3478;
Sudafrica;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;0;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;12;10;;;;;;;;16;;;;;10;12;;;;;5;;;;;;;;Sudafrica;59622000;4956;265060;
Sudan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sudan;43849269;;18674;
Sudan del Sur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sudan del Sur;11193729;;3945;
Suecia;;;;;;;11;7;;;;;;5;;5;0;;;;;5;0;11;;;;;0;2;;;;;;;;;;;;0;;;;;;;;;;;;0;4;;;;;;5;;;;5;;;;3;2;;;;;;;;;;6;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;;;;;;7;;;;;;;;;;;;3;;;;;;;;;;;0;0;0;;;;;;6;;;;7;;;;3;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;5;4;;;;;;6;;;;5;;;;6;1;14;;;;;;2;;;;;;;;;;;;0;;;;;;Suecia;10379295;7363;530357;117729
Suiza;;;;;;;;;;;7;;;0;;;;;;;;;6;;6;;;;;;;;;;;;;7;;;;;;;;;;;5;;;;;;;;;8;;;;;;;;;;;;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;3;;4;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;8;;;;6;;;;;;;;5;10;8;;;;;;6;;;;;;;;;;;;;;;;;Suiza;8667088;;687110;23551
Surinam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Surinam;603000;;2525;
Tailandia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;Tailandia;697978;5985;439628;
Tanzania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tanzania;59734213;3623;56385;
Tayikistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tayikistan;9537642;5466;7174;
Timor Oriental;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Timor Oriental;1318442;;1665;
Togo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Togo;8285000;4107;6632;
Tonga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tonga;100000;;437;
Trinidad y Tobago;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Trinidad y Tobago;13491;;18900;
Tunez;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;Tunez;11818618;4596;34336;
Turkmenistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Turkmenistan;6031187;5066;331;
Turquia;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;Turquia;83614362;4948;685765;40213
Tuvalu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tuvalu;11792;;43;
Ucrania;;0;;0;;;;;;;;;;;;;;;4;;;;0;;4;;8;2;;;8;;7;;;;4;6;4;;;;;;0;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;;;;;;;;;;;;;5;;0;;;;;;;;;;;;;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;3;;;;;;6;;;;;;7;;7;;;;10;;;;;;;;;;;Ucrania;41418717;4875;135966;6105
Uganda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Uganda;45741000;4636;33393;
Uruguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Uruguay;3473727;6431;49533;
Uzbekistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Uzbekistan;33906000;6179;52467;
Vanatu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vanatu;302000;;772;
Venezuela;;;;;10;;;;8;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Venezuela;28435943;4892;83319;
Vietnam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vietnam;97338583;5411;300397;
Yemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yemen;29825968;;16532;
Yibuti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yibuti;988002;;3384;
Zambia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;Zambia;18383956;4073;16914;
Zimbabue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zimbabue;14862927;3145;15804;
